rank	word	count	level	source	flags
1	กา	193460292	pre-a1	phupha-wordfreq	pythainlp|short-token-review
2	ที	178316719	pre-a1	phupha-wordfreq	pythainlp|short-token-review
3	การ	170924829	pre-a1	phupha-wordfreq	pythainlp
4	อง	168370283	pre-a1	phupha-wordfreq	pythainlp|short-token-review
5	ที่	162917982	pre-a1	phupha-wordfreq	pythainlp
6	ระ	108382029	pre-a1	phupha-wordfreq	pythainlp|short-token-review
7	มา	98172980	pre-a1	phupha-wordfreq	pythainlp
8	แล	96606598	pre-a1	phupha-wordfreq	pythainlp|short-token-review
9	ละ	85820577	pre-a1	phupha-wordfreq	pythainlp|short-token-review
10	รา	83917626	pre-a1	phupha-wordfreq	pythainlp|short-token-review
11	อน	80780993	pre-a1	phupha-wordfreq	pythainlp|short-token-review
12	ปร	78082956	pre-a1	phupha-wordfreq	pythainlp|short-token-review
13	และ	74304837	pre-a1	phupha-wordfreq	pythainlp
14	ได	71468951	pre-a1	phupha-wordfreq	pythainlp|short-token-review
15	ได้	70545281	pre-a1	phupha-wordfreq	pythainlp
16	ใน	68925545	pre-a1	phupha-wordfreq	pythainlp
17	วา	68085913	pre-a1	phupha-wordfreq	pythainlp|short-token-review
18	มี	66077908	pre-a1	phupha-wordfreq	pythainlp
19	นท	63837876	pre-a1	phupha-wordfreq	pythainlp|short-token-review
20	กร	63450059	pre-a1	phupha-wordfreq	pythainlp|short-token-review
21	ขอ	61697758	pre-a1	phupha-wordfreq	pythainlp
22	เร	59369873	pre-a1	phupha-wordfreq	pythainlp|short-token-review
23	อย	59034243	pre-a1	phupha-wordfreq	pythainlp|short-token-review
24	รับ	58266455	pre-a1	phupha-wordfreq	pythainlp
25	เก	57353226	pre-a1	phupha-wordfreq	pythainlp|short-token-review
26	อก	55637451	pre-a1	phupha-wordfreq	pythainlp|short-token-review
27	ริ	55422842	pre-a1	phupha-wordfreq	pythainlp|short-token-review
28	วาม	54625619	pre-a1	phupha-wordfreq	pythainlp
29	ความ	54537247	pre-a1	phupha-wordfreq	pythainlp
30	ของ	54232460	pre-a1	phupha-wordfreq	pythainlp
31	ให้	54127999	pre-a1	phupha-wordfreq	pythainlp
32	เป็น	51857832	pre-a1	phupha-wordfreq	pythainlp
33	เพ	51825933	pre-a1	phupha-wordfreq	pythainlp|short-token-review
34	ไม่	51763057	pre-a1	phupha-wordfreq	pythainlp
35	ประ	51438754	pre-a1	phupha-wordfreq	pythainlp
36	สา	50052557	pre-a1	phupha-wordfreq	pythainlp|short-token-review
37	นก	48168607	pre-a1	phupha-wordfreq	pythainlp|short-token-review
38	รี	46943852	pre-a1	phupha-wordfreq	pythainlp|short-token-review
39	หน	46649668	pre-a1	phupha-wordfreq	pythainlp|short-token-review
40	ลา	45579141	pre-a1	phupha-wordfreq	pythainlp|short-token-review
41	นา	44026842	pre-a1	phupha-wordfreq	pythainlp|short-token-review
42	คุ	43522327	pre-a1	phupha-wordfreq	pythainlp|short-token-review
43	ติ	43430316	pre-a1	phupha-wordfreq	pythainlp|short-token-review
44	บร	43288069	pre-a1	phupha-wordfreq	pythainlp|short-token-review
45	งก	43157857	pre-a1	phupha-wordfreq	pythainlp|short-token-review
46	นอ	40742918	pre-a1	phupha-wordfreq	pythainlp|short-token-review
47	จะ	40665449	pre-a1	phupha-wordfreq	pythainlp
48	นที	39286072	pre-a1	phupha-wordfreq	pythainlp
49	ว่า	38210104	pre-a1	phupha-wordfreq	pythainlp
50	อม	37598097	pre-a1	phupha-wordfreq	pythainlp|short-token-review
51	เท	37272774	pre-a1	phupha-wordfreq	pythainlp|short-token-review
52	กม	37171543	pre-a1	phupha-wordfreq	pythainlp|short-token-review
53	หา	36732278	pre-a1	phupha-wordfreq	pythainlp|short-token-review
54	เด	36715853	pre-a1	phupha-wordfreq	pythainlp|short-token-review
55	ออ	35939361	pre-a1	phupha-wordfreq	pythainlp|short-token-review
56	เข	35754058	pre-a1	phupha-wordfreq	pythainlp|short-token-review
57	อร	35639551	pre-a1	phupha-wordfreq	pythainlp|short-token-review
58	ภา	35243269	pre-a1	phupha-wordfreq	pythainlp|short-token-review
59	คุณ	35025731	pre-a1	phupha-wordfreq	pythainlp
60	จา	34980740	pre-a1	phupha-wordfreq	pythainlp|short-token-review
61	รถ	34818944	pre-a1	phupha-wordfreq	pythainlp|short-token-review
62	สิ	34634783	pre-a1	phupha-wordfreq	pythainlp|short-token-review
63	งา	34549759	pre-a1	phupha-wordfreq	pythainlp|short-token-review
64	พร	34232760	pre-a1	phupha-wordfreq	pythainlp|short-token-review
65	รร	34066220	pre-a1	phupha-wordfreq	pythainlp|short-token-review
66	กับ	33325119	pre-a1	phupha-wordfreq	pythainlp
67	ล่น	33153772	pre-a1	phupha-wordfreq	pythainlp
68	เล่น	33043098	pre-a1	phupha-wordfreq	pythainlp
69	นค	32699050	pre-a1	phupha-wordfreq	pythainlp|short-token-review
70	อบ	32388777	pre-a1	phupha-wordfreq	pythainlp|short-token-review
71	ทำ	32323327	pre-a1	phupha-wordfreq	pythainlp|short-token-review
72	สม	32145332	pre-a1	phupha-wordfreq	pythainlp|short-token-review
73	วิ	32145134	pre-a1	phupha-wordfreq	pythainlp|short-token-review
74	งาน	31896647	pre-a1	phupha-wordfreq	pythainlp
75	ดี	30742885	pre-a1	phupha-wordfreq	pythainlp
76	กล	30096846	pre-a1	phupha-wordfreq	pythainlp|short-token-review
77	อา	29892921	pre-a1	phupha-wordfreq	pythainlp|short-token-review
78	บา	29718174	pre-a1	phupha-wordfreq	pythainlp|short-token-review
79	ผู้	29589551	pre-a1	phupha-wordfreq	pythainlp
80	จาก	29130031	pre-a1	phupha-wordfreq	pythainlp
81	วน	29124561	pre-a1	phupha-wordfreq	pythainlp|short-token-review
82	เส	28974129	pre-a1	phupha-wordfreq	pythainlp|short-token-review
83	สุ	28849813	pre-a1	phupha-wordfreq	pythainlp|short-token-review
84	นี้	28787945	pre-a1	phupha-wordfreq	pythainlp
85	รง	28526570	pre-a1	phupha-wordfreq	pythainlp|short-token-review
86	ทุ	28392301	pre-a1	phupha-wordfreq	pythainlp|short-token-review
87	เค	28290206	pre-a1	phupha-wordfreq	pythainlp|short-token-review
88	คา	28177511	pre-a1	phupha-wordfreq	pythainlp|short-token-review
89	เว็บ	28159905	pre-a1	phupha-wordfreq	pythainlp
